ad_idx,name,url
35,다이슨,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EA%B8%B0_1939_4069_%EA%B3%B5%ED%86%B5/%EB%8B%A4%EC%9D%B4%EC%8A%A8+V10+%EB%AC%B4%EC%84%A0%EC%B2%AD%EC%86%8C%EA%B8%B0.mp4
36,직방_이동욱,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%A7%91+%EA%B5%AC%ED%95%98%EA%B8%B0+%EC%96%B4%ED%94%8C_1939_%EA%B3%B5%ED%86%B5/CF+%EA%B4%91%EA%B3%A0+%EC%9D%B4%EB%8F%99%EC%9A%B1+%EC%A7%81%EB%B0%A9+%EC%A2%8B%EC%9D%80%EC%A7%91+%EA%B5%AC%ED%95%98%EB%8A%94+%EA%B8%B0%EC%88%A0+%ED%8E%B8+15s+2018.mp4
37,직방_모델,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%A7%91+%EA%B5%AC%ED%95%98%EA%B8%B0+%EC%96%B4%ED%94%8C_1939_%EA%B3%B5%ED%86%B5/%5BKOREAN+TV+COMMERCIALS%5D+2019.02.+%EA%B9%80%EC%A7%84%EA%B2%BD+%EC%A0%95%ED%98%81+%EC%A7%81%EB%B0%A9+(30s).mp4
38,다방,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%A7%91+%EA%B5%AC%ED%95%98%EA%B8%B0+%EC%96%B4%ED%94%8C_1939_%EA%B3%B5%ED%86%B5/%5B%EB%8B%A4%EB%B0%A9+TVCF%5D+%EB%8B%A4%EB%B0%A9%EC%9C%BC%EB%A1%9C+%EC%B0%9C%ED%95%98%EC%9E%90+%23%EC%8B%B1%EA%B8%80%ED%8E%B8.mp4
39,제네시스,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9E%90%EA%B0%80%EC%9A%A9+%EC%8A%B9%EC%9A%A9%EC%B0%A8_1939_4069_%EB%82%A8%EC%9E%90/%5BHMG+TV%5D%EC%A0%9C%EB%84%A4%EC%8B%9C%EC%8A%A4(GENESIS)+G70+TV+CF+%E2%80%9330%EC%B4%88+(1).mp4
40,현대차_소나타,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9E%90%EA%B0%80%EC%9A%A9+%EC%8A%B9%EC%9A%A9%EC%B0%A8_1939_4069_%EB%82%A8%EC%9E%90/%5BHMG+TV%5D+%ED%98%84%EB%8C%80%EC%9E%90%EB%8F%99%EC%B0%A8+%EC%8B%A0%ED%98%95+%EC%8F%98%EB%82%98%ED%83%80+TVC+%E2%80%93+%EB%94%94%EC%A7%80%ED%84%B8+%ED%82%A4+%ED%8E%B8.mp4
41,대형트럭,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9E%90%EA%B0%80%EC%9A%A9+%EC%8A%B9%EC%9A%A9%EC%B0%A8_1939_4069_%EB%82%A8%EC%9E%90/%5BHMG+TV%5D+%ED%94%8C%EB%9E%98%EA%B7%B8%EC%8B%AD+%EB%8C%80%ED%98%95%ED%8A%B8%EB%9F%AD+%EC%97%91%EC%8B%9C%EC%96%B8%ED%8A%B8+%ED%94%84%EB%A1%9C(XCIENT+PRO)+%EC%98%81%EC%83%81+30s.mp4
42,제네시스_스펙트럼,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9E%90%EA%B0%80%EC%9A%A9+%EC%8A%B9%EC%9A%A9%EC%B0%A8_1939_4069_%EB%82%A8%EC%9E%90/%5BHMG+TV%5D+%EC%9B%94+%EA%B5%AC%EB%8F%85%EC%9C%BC%EB%A1%9C+%EC%83%88%EB%A1%AD%EA%B2%8C+%EA%B2%BD%ED%97%98%ED%95%98%EB%8A%94+%EC%A0%9C%EB%84%A4%EC%8B%9C%EC%8A%A4%EF%BD%9C%EC%A0%9C%EB%84%A4%EC%8B%9C%EC%8A%A4+%EC%8A%A4%ED%8E%99%ED%8A%B8%EB%9F%BC.mp4
43,잇몸_코웰bmp,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9E%87%EB%AA%B8+%EA%B4%80%EB%A6%AC%EC%9A%A9%ED%8F%BC_4069_%EA%B3%B5%ED%86%B5/CF+%EC%B5%9C%EC%A7%80%EB%82%98+%EC%BD%94%EC%9B%B0%EB%A9%94%EB%94%94+%EC%BD%94%EC%9B%B0BMP+%EC%9E%87%EB%AA%B8%EB%BC%88%ED%8E%B8+15s+2017.mp4
44,인사돌,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%9E%87%EB%AA%B8+%EA%B4%80%EB%A6%AC%EC%9A%A9%ED%8F%BC_4069_%EA%B3%B5%ED%86%B5/%EC%B5%9C%EB%B6%88%EC%95%94+%EC%97%84%EB%A7%88%EC%9D%98+%EC%9E%87%EB%AA%B8%EB%82%98%EC%9D%B4%ED%8E%B8+%EC%9D%B8%EC%82%AC%EB%8F%8C%ED%94%8C%EB%9F%AC%EC%8A%A4+CF.mp4
